GameId,Period,Jam,Team,PlayerId,Position,Box,Penalties,PostPassBox,PostPassPenalties,PassOccurred
1004,2,4,Charter Team,14,Pivot,,0,,0,FALSE
1004,2,4,Charter Team,16,Blocker3,,0,,0,FALSE
1004,2,4,Charter Team,18,Jammer,,0,,0,FALSE
1004,2,4,Charter Team,22,Blocker1,,0,,0,FALSE
1004,2,4,Charter Team,27,Blocker2,/,1,,0,FALSE
1004,2,4,Thunder,2,Pivot,,0,,0,FALSE
1004,2,4,Thunder,4,Blocker1,X,1,,0,FALSE
1004,2,4,Thunder,6,Jammer,,0,,0,FALSE
1004,2,4,Thunder,9,Blocker3,,0,,0,FALSE
1004,2,4,Thunder,11,Blocker2,,0,,0,FALSE
1004,2,5,Charter Team,15,Pivot,,0,,0,TRUE
1004,2,5,Charter Team,17,Blocker3,,0,,0,TRUE
1004,2,5,Charter Team,22,Blocker1,,0,,0,TRUE
1004,2,5,Charter Team,24,Jammer,,0,,0,TRUE
1004,2,5,Charter Team,27,Blocker2,$,0,,0,TRUE
1004,2,5,Thunder,1,Blocker2,,0,,0,FALSE
1004,2,5,Thunder,5,Pivot,,0,,0,FALSE
1004,2,5,Thunder,7,Blocker3,,0,,0,FALSE
1004,2,5,Thunder,8,Jammer,,0,,0,FALSE
1004,2,5,Thunder,13,Blocker1,,0,,0,FALSE
1004,2,6,Charter Team,14,Blocker2,,0,,0,FALSE
1004,2,6,Charter Team,17,Blocker3,,0,,0,FALSE
1004,2,6,Charter Team,18,Pivot,,0,,0,FALSE
1004,2,6,Charter Team,19,Blocker1,,0,,0,FALSE
1004,2,6,Charter Team,21,Jammer,,0,,0,FALSE
1004,2,6,Thunder,2,Pivot,,0,/,1,TRUE
1004,2,6,Thunder,4,Jammer,,0,,0,TRUE
1004,2,6,Thunder,9,Blocker1,,0,,0,TRUE
1004,2,6,Thunder,10,Blocker2,,0,,0,TRUE
1004,2,6,Thunder,11,Blocker3,,0,,0,TRUE
1004,2,7,Charter Team,15,Jammer,,0,,0,FALSE
1004,2,7,Charter Team,16,Blocker1,,0,,0,FALSE
1004,2,7,Charter Team,18,Pivot,,0,,0,FALSE
