GameId,Period,Jam,Team,JammerPlayerId,LeadJammer,CalledJam,PassOccurred,Passes,Points
1005,2,6,Plan B,45,TRUE,TRUE,FALSE,7,30
1005,2,7,Harlots,33,FALSE,FALSE,FALSE,0,0
1005,2,7,Harlots,38,FALSE,FALSE,TRUE,1,1
1005,2,7,Plan B,53,TRUE,TRUE,FALSE,2,4
1005,2,8,Harlots,42,TRUE,TRUE,FALSE,1,4
1005,2,8,Plan B,48,FALSE,FALSE,FALSE,2,4
1005,2,9,Harlots,36,TRUE,TRUE,FALSE,1,2
1005,2,9,Plan B,44,FALSE,FALSE,FALSE,2,4
1005,2,10,Harlots,30,TRUE,TRUE,FALSE,1,0
1005,2,10,Plan B,45,FALSE,FALSE,FALSE,1,0
1005,2,11,Harlots,38,FALSE,FALSE,TRUE,4,15
1005,2,11,Harlots,39,FALSE,FALSE,FALSE,0,0
1005,2,11,Plan B,48,FALSE,FALSE,FALSE,2,4
1005,2,12,Harlots,42,TRUE,TRUE,FALSE,1,0
1005,2,12,Plan B,48,FALSE,FALSE,FALSE,1,0
1005,2,13,Harlots,36,FALSE,FALSE,FALSE,0,0
1005,2,13,Harlots,37,FALSE,FALSE,TRUE,1,0
1005,2,13,Plan B,44,TRUE,FALSE,FALSE,3,12
1005,2,14,Harlots,30,TRUE,TRUE,FALSE,1,4
1005,2,14,Plan B,53,FALSE,FALSE,FALSE,1,0
1005,2,15,Harlots,35,FALSE,FALSE,TRUE,0,0
1005,2,15,Harlots,39,FALSE,FALSE,FALSE,0,0
1005,2,15,Plan B,47,TRUE,FALSE,FALSE,4,20
1005,2,16,Harlots,35,FALSE,FALSE,FALSE,0,0
1005,2,16,Harlots,38,FALSE,FALSE,TRUE,1,0
1005,2,16,Plan B,45,TRUE,TRUE,FALSE,2,4
1005,2,17,Harlots,42,FALSE,FALSE,FALSE,0,0
1005,2,17,Plan B,48,TRUE,TRUE,FALSE,2,10
1005,2,18,Harlots,42,FALSE,FALSE,FALSE,0,0
1005,2,18,Plan B,44,TRUE,TRUE,FALSE,3,10
